publishedAt,authorDisplayName,textDisplay,likeCount,Type,char_count,textDisplay_clean,textDisplay_casefolding,textDisplay_stopword,textDisplay_token,textDisplay_stemming
2024-12-10 13:13:17+00:00,@indahmoerdijani2788,"Bocah cerdas berkumpul â¤<br>Undang ritsuki Aja ,pengen lihat keseruan kalian berdua.<br><br>Eh. sepertinya ritsuki sedang di jakarta nih",0,Non-Toxic,138,Bocah cerdas berkumpul brUndang ritsuki Aja pengen lihat keseruan kalian berduabrbrEh sepertinya ritsuki sedang di jakarta nih,bocah cerdas berkumpul brundang ritsuki aja pengen lihat keseruan kalian berduabrbreh sepertinya ritsuki sedang di jakarta nih,bocah cerdas berkumpul brundang ritsuki aja pengen lihat keseruan berduabrbreh ritsuki jakarta nih,"['bocah', 'cerdas', 'berkumpul', 'brundang', 'ritsuki', 'aja', 'pengen', 'lihat', 'keseruan', 'berduabrbreh', 'ritsuki', 'jakarta', 'nih']","['bocah', 'cerdas', 'kumpul', 'brundang', 'ritsuki', 'aja', 'ken', 'lihat', 'seru', 'berduabrbreh', 'ritsuki', 'jakarta', 'nih']"
2024-12-10 11:38:08+00:00,@i.moochAa,AKHIRNYAAA ABEEE YANG DITUNGGU TUNGGUU,0,Non-Toxic,38,AKHIRNYAAA ABEEE YANG DITUNGGU TUNGGUU,akhirnyaaa abeee yang ditunggu tungguu,akhirnyaaa abeee ditunggu tungguu,"['akhirnyaaa', 'abeee', 'ditunggu', 'tungguu']","['akhirnyaaa', 'abeee', 'tunggu', 'tungguu']"
2024-12-10 11:37:49+00:00,@i.moochAa,LUCUUU BANGETT 2 BOCILKUUU,0,Non-Toxic,26,LUCUUU BANGETT  BOCILKUUU,lucuuu bangett  bocilkuuu,lucuuu bangett bocilkuuu,"['lucuuu', 'bangett', 'bocilkuuu']","['lucuuu', 'bangett', 'bocilkuuu']"
2024-12-10 09:35:59+00:00,@26_niluhtiwiprayastini99,Bayi meteor akuuuuu ðŸ¥°,0,Non-Toxic,24,Bayi meteor akuuuuu ,bayi meteor akuuuuu ,bayi meteor akuuuuu,"['bayi', 'meteor', 'akuuuuu']","['bayi', 'meteor', 'akuuuuu']"
2024-12-10 09:10:51+00:00,@denphil1752,Jangan di bully donk.. Namanya juga anak kecil.. Elaaah.. Baru ketemu ya pasti gituuuuu.. Lama lama akrab dan baik bercanda jugaaa,0,Non-Toxic,130,Jangan di bully donk Namanya juga anak kecil Elaaah Baru ketemu ya pasti gituuuuu Lama lama akrab dan baik bercanda jugaaa,jangan di bully donk namanya juga anak kecil elaaah baru ketemu ya pasti gituuuuu lama lama akrab dan baik bercanda jugaaa,bully donk namanya anak elaaah ketemu ya gituuuuu akrab bercanda jugaaa,"['bully', 'donk', 'namanya', 'anak', 'elaaah', 'ketemu', 'ya', 'gituuuuu', 'akrab', 'bercanda', 'jugaaa']","['bully', 'donk', 'nama', 'anak', 'elaaah', 'ketemu', 'ya', 'gituuuuu', 'akrab', 'canda', 'jugaaa']"
2024-12-10 08:03:23+00:00,@SophiaMarwah_,"abe aja luv, bayi gemessss &lt;3",0,Non-Toxic,32,abe aja luv bayi gemessss ,abe aja luv bayi gemessss ,abe aja luv bayi gemessss,"['abe', 'aja', 'luv', 'bayi', 'gemessss']","['abe', 'aja', 'luv', 'bayi', 'gemessss']"
2024-12-10 07:35:19+00:00,@istiqamahr8777,Kameramen nya berisik bgt,0,Toxic,25,Kameramen nya berisik bgt,kameramen nya berisik bgt,kameramen nya berisik bgt,"['kameramen', 'nya', 'berisik', 'bgt']","['kameramen', 'nya', 'berisik', 'bgt']"
2024-12-10 07:00:43+00:00,@intandewirengganis6343,"Abeeeee, dia bisa looo &quot;kita pukul dinonya bersama2&quot;, kyk dia rela dino nya di pukul2 sama ajja. Masih kecil tapi tau harus sharing",0,Non-Toxic,141,Abeeeee dia bisa looo quotkita pukul dinonya  kyk dia rela dino nya di  sama ajja Masih kecil tapi tau harus sharing,abeeeee dia bisa looo quotkita pukul dinonya  kyk dia rela dino nya di  sama ajja masih kecil tapi tau harus sharing,abeeeee looo quotkita dinonya kyk rela dino nya ajja tau sharing,"['abeeeee', 'looo', 'quotkita', 'dinonya', 'kyk', 'rela', 'dino', 'nya', 'ajja', 'tau', 'sharing']","['abeeeee', 'looo', 'quotkita', 'dinonya', 'kyk', 'rela', 'dino', 'nya', 'ajja', 'tau', 'sharing']"
2024-12-10 06:06:41+00:00,@OppoF11-p5s,Abe aja pukul apaðŸ˜‚,0,Non-Toxic,21,Abe aja pukul apa,abe aja pukul apa,abe aja,"['abe', 'aja']","['abe', 'aja']"
2024-12-10 04:17:25+00:00,@alfiqoni5197,abeeeeeeeeeee,0,Non-Toxic,13,abeeeeeeeeeee,abeeeeeeeeeee,abeeeeeeeeeee,['abeeeeeeeeeee'],['abeeeeeeeeeee']
2024-12-10 04:13:31+00:00,@amyk6264,ajja gapernah diajarin sama nagita ya?ðŸ¥°,0,Toxic,42,ajja gapernah diajarin sama nagita ya,ajja gapernah diajarin sama nagita ya,ajja gapernah diajarin nagita ya,"['ajja', 'gapernah', 'diajarin', 'nagita', 'ya']","['ajja', 'gapernah', 'diajarin', 'nagita', 'ya']"
2024-12-10 03:55:46+00:00,@Catcatshy,Abee emang selucu ituiuuuuðŸ˜¢ðŸ˜¢ðŸ˜¢,0,Non-Toxic,38,Abee emang selucu ituiuuuu,abee emang selucu ituiuuuu,abee emang selucu ituiuuuu,"['abee', 'emang', 'selucu', 'ituiuuuu']","['abee', 'emang', 'lucu', 'ituiuuuu']"
2024-12-10 03:22:27+00:00,@ulfa_zaiya,Masyaallah 2 bayik onlen ku akhirnya ketemu ðŸ¤©,0,Non-Toxic,48,Masyaallah  bayik onlen ku akhirnya ketemu ,masyaallah  bayik onlen ku akhirnya ketemu ,masyaallah bayik onlen ku ketemu,"['masyaallah', 'bayik', 'onlen', 'ku', 'ketemu']","['masyaallah', 'bayik', 'onlen', 'ku', 'ketemu']"
2024-12-10 03:12:34+00:00,@sallzm-p3b,abee lucuu bangettðŸ«µðŸ»ðŸ«µðŸ»,1,Non-Toxic,34,abee lucuu bangett,abee lucuu bangett,abee lucuu bangett,"['abee', 'lucuu', 'bangett']","['abee', 'lucuu', 'bangett']"
2024-12-10 02:18:15+00:00,@IzahA3x,ajja ajg bgt,0,Toxic,12,ajja ajg bgt,ajja ajg bgt,ajja ajg bgt,"['ajja', 'ajg', 'bgt']","['ajja', 'ajg', 'bgt']"
2024-12-10 02:15:20+00:00,@nadiyayr,gemes banget 2 bocilâ¤â¤â¤,0,Non-Toxic,29,gemes banget  bocil,gemes banget  bocil,gemes banget bocil,"['gemes', 'banget', 'bocil']","['gemes', 'banget', 'bocil']"
2024-12-10 02:04:53+00:00,@NewiBowoLaksono,"Ketemuan sama Ritsuki donk, dia lagi di Indonesia tuh",0,Non-Toxic,53,Ketemuan sama Ritsuki donk dia lagi di Indonesia tuh,ketemuan sama ritsuki donk dia lagi di indonesia tuh,ketemuan ritsuki donk indonesia tuh,"['ketemuan', 'ritsuki', 'donk', 'indonesia', 'tuh']","['ketemu', 'ritsuki', 'donk', 'indonesia', 'tuh']"
2024-12-10 01:37:59+00:00,@revalicca_fanbase,Minimal durasinya sampai w025,0,Non-Toxic,29,Minimal durasinya sampai ,minimal durasinya sampai ,minimal durasinya,"['minimal', 'durasinya']","['minimal', 'durasi']"
2024-12-10 01:30:38+00:00,@Tantecryptod,pukul samasama .. uunncchh,0,Non-Toxic,26,pukul samasama  uunncchh,pukul samasama  uunncchh,samasama uunncchh,"['samasama', 'uunncchh']","['samasama', 'uunncchh']"
2024-12-10 00:26:21+00:00,@mualimalim7595,Fans abe= hama. Lebih bocil dari abe nya sdriðŸ˜‚,1,Toxic,49,Fans abe hama Lebih bocil dari abe nya sdri,fans abe hama lebih bocil dari abe nya sdri,fans abe hama bocil abe nya sdri,"['fans', 'abe', 'hama', 'bocil', 'abe', 'nya', 'sdri']","['fans', 'abe', 'hama', 'bocil', 'abe', 'nya', 'sdri']"
2024-12-09 21:03:05+00:00,@ghiakhalfa,tertekan muka abe kasiannya wkwk ajja aktif sekali,0,Non-Toxic,50,tertekan muka abe kasiannya wkwk ajja aktif sekali,tertekan muka abe kasiannya wkwk ajja aktif sekali,tertekan muka abe kasiannya wkwk ajja aktif,"['tertekan', 'muka', 'abe', 'kasiannya', 'wkwk', 'ajja', 'aktif']","['tekan', 'muka', 'abe', 'kasi', 'wkwk', 'ajja', 'aktif']"
2024-12-09 20:50:24+00:00,@ArifSoppeng,Seru dua anak ketemu anak2 pintar dan lucu,0,Non-Toxic,42,Seru dua anak ketemu  pintar dan lucu,seru dua anak ketemu  pintar dan lucu,seru anak ketemu pintar lucu,"['seru', 'anak', 'ketemu', 'pintar', 'lucu']","['seru', 'anak', 'ketemu', 'pintar', 'lucu']"
2024-12-09 20:50:10+00:00,@hiakumira7702,Pls pertemukan rayanzza dan ritsuki the queen n king perbayian indo wkw,0,Non-Toxic,71,Pls pertemukan rayanzza dan ritsuki the queen  king perbayian indo wkw,pls pertemukan rayanzza dan ritsuki the queen  king perbayian indo wkw,pls pertemukan rayanzza ritsuki the queen king perbayian indo wkw,"['pls', 'pertemukan', 'rayanzza', 'ritsuki', 'the', 'queen', 'king', 'perbayian', 'indo', 'wkw']","['pls', 'temu', 'rayanzza', 'ritsuki', 'the', 'queen', 'king', 'bayi', 'indo', 'wkw']"
2024-12-09 16:53:40+00:00,@indigogabrielzulkarnain1839,Rayanza literally beban pertemanan,1,Toxic,34,Rayanza literally beban pertemanan,rayanza literally beban pertemanan,rayanza literally beban pertemanan,"['rayanza', 'literally', 'beban', 'pertemanan']","['rayanza', 'literally', 'beban', 'teman']"
2024-12-09 16:13:42+00:00,@rahmanissatahara7534,Abeeeâ¤,0,Non-Toxic,8,Abeee,abeee,abeee,['abeee'],['abeee']
2024-12-09 15:47:21+00:00,@PutraIrawan-q3n,KK nya mau apa ituðŸ˜Šâ¤,0,Non-Toxic,25,KK nya mau apa itu,kk nya mau apa itu,kk nya,"['kk', 'nya']","['kk', 'nya']"
2024-12-09 15:40:42+00:00,@NengsihErlinda-un9qo,Art and dbeu<br>Ssakskeir yang akan terjadi,0,Non-Toxic,43,Art and dbeubrSsakskeir yang akan terjadi,art and dbeubrssakskeir yang akan terjadi,art and dbeubrssakskeir,"['art', 'and', 'dbeubrssakskeir']","['art', 'and', 'dbeubrssakskeir']"
2024-12-09 15:40:17+00:00,@NengsihErlinda-un9qo,rayyanzaa tololl,0,Toxic,16,rayyanzaa tololl,rayyanzaa tololl,rayyanzaa tololl,"['rayyanzaa', 'tololl']","['rayyanzaa', 'tololl']"
2024-12-09 15:22:35+00:00,@putrims8195,Next ajak Ritsuki dan Natsuki jja mumpung mereka lagi ada di indo,0,Non-Toxic,65,Next ajak Ritsuki dan Natsuki jja mumpung mereka lagi ada di indo,next ajak ritsuki dan natsuki jja mumpung mereka lagi ada di indo,next ajak ritsuki natsuki jja mumpung indo,"['next', 'ajak', 'ritsuki', 'natsuki', 'jja', 'mumpung', 'indo']","['next', 'ajak', 'ritsuki', 'natsuki', 'jja', 'mumpung', 'indo']"
2024-12-09 14:44:55+00:00,@Znailaa,LovvvðŸ˜­â¤,0,Non-Toxic,12,Lovvv,lovvv,lovvv,['lovvv'],['lovvv']
2024-12-09 14:37:46+00:00,@salmaprasya,cakepan ab dibanding ajja!,0,Toxic,26,cakepan ab dibanding ajja,cakepan ab dibanding ajja,cakepan ab dibanding ajja,"['cakepan', 'ab', 'dibanding', 'ajja']","['cakep', 'ab', 'banding', 'ajja']"
2024-12-09 14:00:59+00:00,@amellianur4864,AJAHEEEE BAYI FAVORITKUUUðŸ’™ðŸ’™ ABEEE CEKUTT KM GEMES AMAYY BAYIIIðŸ˜«ðŸ¤ðŸ»,0,Non-Toxic,80,AJAHEEEE BAYI FAVORITKUUU ABEEE CEKUTT KM GEMES AMAYY BAYIII,ajaheeee bayi favoritkuuu abeee cekutt km gemes amayy bayiii,ajaheeee bayi favoritkuuu abeee cekutt km gemes amayy bayiii,"['ajaheeee', 'bayi', 'favoritkuuu', 'abeee', 'cekutt', 'km', 'gemes', 'amayy', 'bayiii']","['ajaheeee', 'bayi', 'favoritkuuu', 'abeee', 'cekutt', 'km', 'gemes', 'amayy', 'bayiii']"
2024-12-09 13:54:22+00:00,@ekaprastikadewi7983,gemeshhh bgt abeeeðŸ˜,0,Non-Toxic,22,gemeshhh bgt abeee,gemeshhh bgt abeee,gemeshhh bgt abeee,"['gemeshhh', 'bgt', 'abeee']","['gemeshhh', 'bgt', 'abeee']"
2024-12-09 13:40:23+00:00,@AnisahZahwah,Tinggal aja dan ritsuki belum ketemu,0,Non-Toxic,36,Tinggal aja dan ritsuki belum ketemu,tinggal aja dan ritsuki belum ketemu,tinggal aja ritsuki ketemu,"['tinggal', 'aja', 'ritsuki', 'ketemu']","['tinggal', 'aja', 'ritsuki', 'ketemu']"
2024-12-09 12:18:07+00:00,@RAHASIABOSKU0,Aku liat komen nya setengah bahas abe semua dah,0,Toxic,47,Aku liat komen nya setengah bahas abe semua dah,aku liat komen nya setengah bahas abe semua dah,liat komen nya bahas abe dah,"['liat', 'komen', 'nya', 'bahas', 'abe', 'dah']","['liat', 'komen', 'nya', 'bahas', 'abe', 'dah']"
2024-12-09 11:48:13+00:00,@sarahaandini,"Lucu banget bayiii bayii ini masyhaallahðŸ˜­<br>Saya sarah sales Indomobil Karawang jika ada yang ingin info lebih lanjut soal KIA, Nissan, Citroen, Aion boleh langsung ke bio dan wa sarah ya terimakasihðŸ¤—",0,Non-Toxic,207,Lucu banget bayiii bayii ini masyhaallahbrSaya sarah sales Indomobil Karawang jika ada yang ingin info lebih lanjut soal KIA Nissan Citroen Aion boleh langsung ke bio dan wa sarah ya terimakasih,lucu banget bayiii bayii ini masyhaallahbrsaya sarah sales indomobil karawang jika ada yang ingin info lebih lanjut soal kia nissan citroen aion boleh langsung ke bio dan wa sarah ya terimakasih,lucu banget bayiii bayii masyhaallahbrsaya sarah sales indomobil karawang info kia nissan citroen aion langsung bio wa sarah ya terimakasih,"['lucu', 'banget', 'bayiii', 'bayii', 'masyhaallahbrsaya', 'sarah', 'sales', 'indomobil', 'karawang', 'info', 'kia', 'nissan', 'citroen', 'aion', 'langsung', 'bio', 'wa', 'sarah', 'ya', 'terimakasih']","['lucu', 'banget', 'bayiii', 'bayi', 'masyhaallahbrsaya', 'sarah', 'sales', 'indomobil', 'karawang', 'info', 'kia', 'nissan', 'citroen', 'aion', 'langsung', 'bio', 'wa', 'sarah', 'ya', 'terimakasih']"
2024-12-09 11:26:12+00:00,@citraanugrah214,Abee ngga bisa diem kalo Rayyan malah diem kalo lihat abee ðŸ™‚ðŸ˜…,0,Toxic,67,Abee ngga bisa diem kalo Rayyan malah diem kalo lihat abee ,abee ngga bisa diem kalo rayyan malah diem kalo lihat abee ,abee ngga diem kalo rayyan diem kalo lihat abee,"['abee', 'ngga', 'diem', 'kalo', 'rayyan', 'diem', 'kalo', 'lihat', 'abee']","['abee', 'ngga', 'diem', 'kalo', 'rayyan', 'diem', 'kalo', 'lihat', 'abee']"
2024-12-09 11:12:56+00:00,@rininvnti,Lucuknyaa duo iniðŸ¥°ðŸ¤ðŸ»,0,Non-Toxic,29,Lucuknyaa duo ini,lucuknyaa duo ini,lucuknyaa duo,"['lucuknyaa', 'duo']","['lucuknyaa', 'duo']"
2024-12-09 10:49:14+00:00,@FitriFitriani-t7b,bru nonton rans karena ada abeâ¤,0,Toxic,33,bru nonton rans karena ada abe,bru nonton rans karena ada abe,bru nonton rans abe,"['bru', 'nonton', 'rans', 'abe']","['bru', 'nonton', 'rans', 'abe']"
2024-12-09 10:46:45+00:00,@momsghaidachanel,Dua bocil gemesiin..next aza colabs ama ritsuki donk..mmpu lagi di indoðŸ˜Š,0,Non-Toxic,75,Dua bocil gemesiinnext aza colabs ama ritsuki donkmmpu lagi di indo,dua bocil gemesiinnext aza colabs ama ritsuki donkmmpu lagi di indo,bocil gemesiinnext aza colabs ama ritsuki donkmmpu indo,"['bocil', 'gemesiinnext', 'aza', 'colabs', 'ama', 'ritsuki', 'donkmmpu', 'indo']","['bocil', 'gemesiinnext', 'aza', 'colabs', 'ama', 'ritsuki', 'donkmmpu', 'indo']"
2024-12-09 10:09:35+00:00,@bebethelisa,gemes banget si beee. lucunya kalian,0,Non-Toxic,36,gemes banget si beee lucunya kalian,gemes banget si beee lucunya kalian,gemes banget si beee lucunya,"['gemes', 'banget', 'si', 'beee', 'lucunya']","['gemes', 'banget', 'si', 'beee', 'lucu']"
2024-12-09 09:22:57+00:00,@shndliau,ketemuuy ritsuki donggg ajaaaa,0,Non-Toxic,30,ketemuuy ritsuki donggg ajaaaa,ketemuuy ritsuki donggg ajaaaa,ketemuuy ritsuki donggg ajaaaa,"['ketemuuy', 'ritsuki', 'donggg', 'ajaaaa']","['ketemuuy', 'ritsuki', 'donggg', 'ajaaaa']"
2024-12-09 08:17:48+00:00,@NagaSakti-w6r,Aja ketemu ritsuki pasti seru,0,Non-Toxic,29,Aja ketemu ritsuki pasti seru,aja ketemu ritsuki pasti seru,aja ketemu ritsuki seru,"['aja', 'ketemu', 'ritsuki', 'seru']","['aja', 'ketemu', 'ritsuki', 'seru']"
2024-12-09 08:08:59+00:00,@muhammadrizarivaldi3516,"<a href=""https://www.youtube.com/watch?v=PSDbi4wQg8o&amp;t=664"">11:04</a> ajja disini mirip mayor teddy gk si",0,Non-Toxic,109,  ajja disini mirip mayor teddy gk si,  ajja disini mirip mayor teddy gk si,ajja mayor teddy gk si,"['ajja', 'mayor', 'teddy', 'gk', 'si']","['ajja', 'mayor', 'teddy', 'gk', 'si']"
2024-12-09 08:04:23+00:00,@muhammadrizarivaldi3516,"ajjaa gblk, abe pinter",0,Toxic,22,ajjaa gblk abe pinter,ajjaa gblk abe pinter,ajjaa gblk abe pinter,"['ajjaa', 'gblk', 'abe', 'pinter']","['ajjaa', 'gblk', 'abe', 'pinter']"
2024-12-09 08:04:07+00:00,@enjelinong4876,lu yg gblk,0,Toxic,10,lu yg gblk,lu yg gblk,lu yg gblk,"['lu', 'yg', 'gblk']","['lu', 'yg', 'gblk']"
2024-12-09 07:01:30+00:00,@UnudFams,gausa komen kyk gt ke anak kecilll,0,Non-Toxic,34,gausa komen kyk gt ke anak kecilll,gausa komen kyk gt ke anak kecilll,gausa komen kyk gt anak kecilll,"['gausa', 'komen', 'kyk', 'gt', 'anak', 'kecilll']","['gausa', 'komen', 'kyk', 'gt', 'anak', 'kecilll']"
2024-12-09 06:57:53+00:00,@murteee9281,masyaallah abeee kenapa lucu sekaliðŸ˜‚â¤â¤â¤â¤ aja pun cool bgtâ¤â¤â¤â¤,0,Non-Toxic,80,masyaallah abeee kenapa lucu sekali aja pun cool bgt,masyaallah abeee kenapa lucu sekali aja pun cool bgt,masyaallah abeee lucu aja cool bgt,"['masyaallah', 'abeee', 'lucu', 'aja', 'cool', 'bgt']","['masyaallah', 'abeee', 'lucu', 'aja', 'cool', 'bgt']"
2024-12-09 06:57:09+00:00,@akbarliarian02__,"<a href=""https://www.youtube.com/watch?v=PSDbi4wQg8o&amp;t=520"">8:40</a> lucuu bgt sii aja ðŸ˜­ðŸ™",1,Non-Toxic,99,  lucuu bgt sii aja ,  lucuu bgt sii aja ,lucuu bgt sii aja,"['lucuu', 'bgt', 'sii', 'aja']","['lucuu', 'bgt', 'sii', 'aja']"
2024-12-09 07:01:01+00:00,@akbarliarian02__,"<a href=""https://www.youtube.com/watch?v=PSDbi4wQg8o&amp;t=702"">11:42</a> lucuu juga ðŸ˜”",1,Non-Toxic,89,  lucuu juga ,  lucuu juga ,lucuu,['lucuu'],['lucuu']
